,mode_id,success,stable,severity,f_angle,f_freq,f_voltage,angle_sep_deg,freq_dev_hz,voltage_dip,sim_time
96,96,True,False,0.9506623040822196,0.9027981370821144,1.0,0.9970529421646499,162.5036646747806,2.0493544101819197,0.9970529421646499,1.0786080360412598
97,97,True,False,0.8598858242078025,1.0,0.44237867253322705,0.9971646242979826,182.60522945457808,0.8847573450664541,0.9971646242979826,0.5485367774963379
98,98,True,False,0.8465788518904109,1.0,0.38926154044350625,0.9970538671181377,180.71794922817816,0.7785230808870125,0.9970538671181377,0.31950998306274414
99,99,True,False,0.6080037358360038,0.5312403067602305,0.37250939428687246,0.9970249355366818,95.62325521684149,0.7450187885737449,0.9970249355366818,1.3153443336486816
100,100,True,False,0.82207824181651,0.7744698392453666,0.742283405959153,0.9970898828161536,139.404571064166,1.484566811918306,0.9970898828161536,1.178473711013794
101,101,True,False,0.5592593631487982,0.44932026371851136,0.3413646374186605,0.9970322877395094,80.87764746933205,0.682729274837321,0.9970322877395094,1.4072978496551514
102,102,True,False,0.8649750885818231,1.0,0.4628439234021151,0.9970564309251774,181.34320338619656,0.9256878468042302,0.9970564309251774,0.34121108055114746
103,103,True,False,0.8710851297986069,1.0,0.4872866160544689,0.9970539031399586,180.40205756940682,0.9745732321089378,0.9970539031399586,0.5822653770446777
104,104,True,False,0.9493493652455965,0.9003051991181029,1.0,0.9967870627461805,162.05493584125853,3.8677181784631642,0.9967870627461805,1.0359208583831787
105,105,False,False,1.0,1.0,1.0,1.0,,,,0.14132022857666016
106,106,True,False,0.653509864742731,0.5905896139768577,0.43582343656743916,0.9970367944497693,106.30613051583438,0.8716468731348783,0.9970367944497693,1.473801851272583
107,107,True,False,0.8431212358004367,1.0,0.3754220996255988,0.9970628435761484,182.72786817959448,0.7508441992511976,0.9970628435761484,0.3273892402648926
108,108,True,False,0.5275951028513151,0.41437677050175964,0.2846391685761205,0.9969877018256208,74.58781869031674,0.569278337152241,0.9969877018256208,1.2792530059814453
109,109,True,False,0.8442799268763639,1.0,0.38006338046628585,0.9970563270391696,182.00550147002286,0.7601267609325717,0.9970563270391696,0.34093213081359863
110,110,True,False,0.4409892394835195,0.27557771379166773,0.21584709327246898,0.9969544370782735,49.60398848250019,0.43169418654493796,0.9969544370782735,1.254185438156128
111,111,False,False,1.0,1.0,1.0,1.0,,,,0.12884116172790527
112,112,True,False,0.9172401633835182,1.0,0.6719345932108602,0.9970260603232125,181.51626878693813,1.3438691864217205,0.9970260603232125,0.5845341682434082
113,113,True,False,0.48487360800540286,0.3451487138076161,0.2522103359761303,0.996986668430249,62.126768485370896,0.5044206719522606,0.996986668430249,0.9644498825073242
114,114,True,False,0.577632584933486,0.4806996473960358,0.3521047168428062,0.9970263280990659,86.52593653128645,0.7042094336856124,0.9970263280990659,0.999049186706543
